dna_plate_id,dna_plate_row,dna_plate_column,quant_row,quant_column,rfu,pg_per_ul
rme_preservative_dna_2024-11-06,a,1,j,1,36.114,53.221897077268345
rme_preservative_dna_2024-11-06,a,1,j,2,29.261,31.205851917987882
rme_preservative_dna_2024-11-06,b,1,j,3,48.283,102.54998973774015
rme_preservative_dna_2024-11-06,b,1,j,4,41.053,71.6976793594341
rme_preservative_dna_2024-11-06,c,1,j,5,33.139,43.14065238526763
rme_preservative_dna_2024-11-06,c,1,j,6,29.374,31.534096358882454
rme_preservative_dna_2024-11-06,d,1,j,7,21.621,11.776319966041248
rme_preservative_dna_2024-11-06,d,1,j,8,24.486,18.419987595993003
rme_preservative_dna_2024-11-06,e,1,j,9,24.409,18.231288057332367
rme_preservative_dna_2024-11-06,e,1,j,10,34.367,47.20534590131113
rme_preservative_dna_2024-11-06,f,1,j,11,37.293,57.43648877240684
rme_preservative_dna_2024-11-06,f,1,j,12,30.483,34.817973000937855
rme_preservative_dna_2024-11-06,g,1,j,13,36.955,56.215586023430184
rme_preservative_dna_2024-11-06,g,1,j,14,30.305,34.2832719518537
rme_preservative_dna_2024-11-06,h,1,j,15,62.923,178.12153968310886
rme_preservative_dna_2024-11-06,h,1,j,16,59.819,160.69554098700553
rme_preservative_dna_2024-11-06,a,4,j,17,32.925,42.4462755316702
rme_preservative_dna_2024-11-06,a,4,j,18,40.87,70.97492251352392
rme_preservative_dna_2024-11-06,b,4,j,19,40.115,68.0239020717121
rme_preservative_dna_2024-11-06,b,4,j,20,39.634,66.16981156847238
rme_preservative_dna_2024-11-06,c,4,j,21,55.677,138.59736321373316
rme_preservative_dna_2024-11-06,c,4,j,22,40.341,68.90203968941496
rme_preservative_dna_2024-11-06,a,2,k,1,32.902,42.371893528440104
rme_preservative_dna_2024-11-06,a,2,k,2,23.58,16.23510953141188
rme_preservative_dna_2024-11-06,b,2,k,3,24.202,17.726773933432803
rme_preservative_dna_2024-11-06,b,2,k,4,24.702,18.95230569231349
rme_preservative_dna_2024-11-06,c,2,k,5,97.493,416.8883865556151
rme_preservative_dna_2024-11-06,c,2,k,6,92.021,374.1608264877544
rme_preservative_dna_2024-11-06,d,2,k,7,19.594,7.547068497620875
rme_preservative_dna_2024-11-06,d,2,k,8,20.005,8.372888759651872
rme_preservative_dna_2024-11-06,e,2,k,9,19.224,6.817461181604469
rme_preservative_dna_2024-11-06,e,2,k,10,27.803,27.07656996535648
rme_preservative_dna_2024-11-06,f,2,k,11,31.983,39.43919340401424
rme_preservative_dna_2024-11-06,f,2,k,12,21.992,12.592787686254738
rme_preservative_dna_2024-11-06,g,2,k,13,33.497,44.311554124584916
rme_preservative_dna_2024-11-06,g,2,k,14,28.017,27.67031357900089
rme_preservative_dna_2024-11-06,h,2,k,15,124.784,651.7184178668502
rme_preservative_dna_2024-11-06,h,2,k,16,118.788,597.401948773777
rme_preservative_dna_2024-11-06,d,4,k,17,40.925,71.19183836001649
rme_preservative_dna_2024-11-06,d,4,k,18,39.275,64.79919837985874
rme_preservative_dna_2024-11-06,e,4,k,19,47.25,97.87099875680171
rme_preservative_dna_2024-11-06,e,4,k,20,68.685,212.37159722914916
rme_preservative_dna_2024-11-06,f,4,k,21,50.418,112.50118947982178
rme_preservative_dna_2024-11-06,f,4,k,22,41.196,72.26448284941004
rme_preservative_dna_2024-11-06,a,3,l,1,30.765,35.67103778854295
rme_preservative_dna_2024-11-06,a,3,l,2,21.031,10.504869164195059
rme_preservative_dna_2024-11-06,b,3,l,3,42.602,77.93173949994332
rme_preservative_dna_2024-11-06,b,3,l,4,41.04,71.64623988923698
rme_preservative_dna_2024-11-06,c,3,l,5,28.714,29.633592367825475
rme_preservative_dna_2024-11-06,c,3,l,6,24.455,18.343950505341848
rme_preservative_dna_2024-11-06,d,3,l,7,43.188,80.34412914021057
rme_preservative_dna_2024-11-06,d,3,l,8,27.216,25.469791058256032
rme_preservative_dna_2024-11-06,e,3,l,9,21.694,11.935938441402001
rme_preservative_dna_2024-11-06,e,3,l,10,30.33,34.35819472966879
rme_preservative_dna_2024-11-06,f,3,l,11,27.788,27.035111951778237
rme_preservative_dna_2024-11-06,f,3,l,12,22.98,14.830840243022172
rme_preservative_dna_2024-11-06,g,3,l,13,68.543,211.4985053545914
rme_preservative_dna_2024-11-06,g,3,l,14,65.573,193.57110083163323
rme_preservative_dna_2024-11-06,h,3,l,15,34.807,48.69486161674345
rme_preservative_dna_2024-11-06,h,3,l,16,28.185,28.13940885746258
